id;code;name;cargo_class_value
1786;222143;Кокс нефтяной высокосернистый;2
1787;222158;Кокс нефтяной, не поименованный в алфавите;2
1788;171064;Кокс пековый каменноугольный;1
1789;191023;Кокс сланцевый;1
1790;171079;Кокс электродный;1
1791;171083;Кокс, не поименованный в алфавите;1
1792;171098;Коксик всякий;1
1793;661137;Колбы стеклянные всякие;3
1794;232198;КОЛЕМАНИТ;1
1795;381180;Колеса автомобильные всякие;3
1796;324046;Колеса вагонные и локомотивные новые цельнокатанные;3
1797;411263;Колеса из черных металлов, не поименованные в алфавите;3
1798;411278;Колеса машинные литые и кованые;3
1799;414115;Колесные пары вагонные и локомотивные;3
1800;683085;Коллекции по ботанике, зоологии, минералогии и др.;3
1801;441254;КОЛЛОДИЙ;2
1802;725199;Коллоксилин (нитроцеллюлоза);3
1803;262102;Колодки тормозные асбестовые;3
1804;414079;Колодки тормозные чугунные;3
1805;264292;Колонны из камня искусственного;1
1806;264305;Колонны из камня природного;1
1807;411282;Колонны металлические;3
1808;411297;КОЛОСНИКИ;3
1809;152006;Колчедан серный;1
1810;152010;Колчедан углистый;1
1811;411306;Кольца из черных металлов;3
1812;262121;Кольца прокладочные асбестовые;3
1813;452121;Кольца резиновые всякие;3
1814;391144;Коляски, кроме детских;3
1815;361191;Комбайны свеклоуборочные;2
1816;361204;Комбайны сельскохозяйственные;2
1817;541005;КОМБИКОРМА;2
1818;541024;Комбикорма всякие;2
1819;634106;КОМБИНЕЗОНЫ;3
1820;694022;Коммунальные отходы в сортированном виде в пакетированном виде;2
1821;694037;Коммунальные отходы навалочные в специализированных контейнерах;2
1822;694018;Коммунальные отходы несортированные в пакетированном виде;2
1823;127131;КОМОДЫ;3
1824;213138;Компаунды жидкие;2
1825;213144;Компаунды масел смазочных;2
1826;401045;Комплексы и машины вычислительные;3
1827;256084;Комплекты деталей для домов со стенами из арболита;3
1828;121101;Комплекты деталей для стандартных домов;3
1829;123037;Комплекты деталей ящиков деревянных;3
1830;682100;Комплекты спортивные, не поименованные в алфавите;3
1831;124025;Комплекты тарные возвратные;3
1832;713059;Композиции изоцианатные (суризоны);3
1833;461811;Композиции минералонаполненные гранулированные с содержанием наполнителя более 70% на основе полимеризационных смол в качестве связующего;3
1834;485445;Композиция бромид кальция-бромид цинка, раствор;3
1835;757221;Композиция глимс;3
1836;757236;Композиция ГПР (грунт преобразователь ржавчины);3
1837;593033;"Композиция для купажа напитка ""Лимонад""";3
1838;757698;Композиция ДН-9010;3
1839;724436;Композиция ДПФ-1, ингибированная;3
1840;757240;"Композиция жирующая ""Хлорсинтем""";3
1841;725644;Компонент А-391;3
1842;757255;Компоненты изоцианатные для производства пенопластов;3
1843;582081;Компот из сухих фруктов и ягод;2
1844;581074;КОМПОТЫ;2
1845;133077;Конверты бумажные;3
1846;226106;Конденсат газовый (конденсат из природного газа);2
1847;404077;Кондиционеры электробытовые;3
1848;561051;КОНИНА;2
1849;724285;"Консервант ""Силобен"" (водный раствор бензо-ата натрия)";3
1850;757269;"Консервант кормов ""Бисилан""";3
1851;581002;Консервы всякие. фрукты, ягоды, овощи и грибы моченые, соленые, квашеные, маринованные и сульфитированные;2
1852;581089;Консервы из раков, ракообразных и моллюсков;2
1853;581093;Консервы молочные;2
1854;581356;Консервы мясные и мясорастительные;2
1855;581106;Консервы овощные;2
1856;581110;Консервы рыбные;2
1857;581125;Консервы фруктовые;2
1858;581132;Консервы яичные;2
1859;213159;Консталин;2
1860;331209;КОНСТАНТАН;3
1861;254002;Конструкции (сборные) детали и изделия железобетонные;2
1862;125174;Конструкции деревянные клееные;3
1863;254055;Конструкции железобетонные;2
1864;371009;Конструкции металлические;3
1865;371051;Конструкции металлические, не поименованные в алфавите;3
